,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
22,2017,38.45,SL.TLF.ACTI.1524.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
23,2018,38.94,SL.TLF.ACTI.1524.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
24,2019,38.44,SL.TLF.ACTI.1524.ZS,ARG,Argentina,Latin America & Caribbean ,Upper middle income,IBRD
25,2015,40.35,SL.TLF.ACTI.1524.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
26,2016,35.86,SL.TLF.ACTI.1524.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
27,2017,36.13,SL.TLF.ACTI.1524.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
28,2018,35.47,SL.TLF.ACTI.1524.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
29,2019,33.87,SL.TLF.ACTI.1524.ZS,ARM,Armenia,Europe & Central Asia,Upper middle income,IBRD
30,2015,67.26,SL.TLF.ACTI.1524.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
31,2016,66.7,SL.TLF.ACTI.1524.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
32,2017,66.67,SL.TLF.ACTI.1524.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
33,2018,67.49,SL.TLF.ACTI.1524.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
34,2019,67.64,SL.TLF.ACTI.1524.ZS,AUS,Australia,East Asia & Pacific,High income,Not classified
35,2015,57.61,SL.TLF.ACTI.1524.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
36,2016,57.54,SL.TLF.ACTI.1524.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
37,2017,55.93,SL.TLF.ACTI.1524.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
38,2018,56.33,SL.TLF.ACTI.1524.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
39,2019,56.09,SL.TLF.ACTI.1524.ZS,AUT,Austria,Europe & Central Asia,High income,Not classified
40,2015,37.36,SL.TLF.ACTI.1524.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
41,2016,39.88,SL.TLF.ACTI.1524.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
42,2017,42.01,SL.TLF.ACTI.1524.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
43,2018,43.88,SL.TLF.ACTI.1524.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
44,2019,43.26,SL.TLF.ACTI.1524.ZS,AZE,Azerbaijan,Europe & Central Asia,Upper middle income,IBRD
45,2015,55.74,SL.TLF.ACTI.1524.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
46,2016,55.86,SL.TLF.ACTI.1524.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
47,2017,55.84,SL.TLF.ACTI.1524.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
48,2018,55.64,SL.TLF.ACTI.1524.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
49,2019,55.38,SL.TLF.ACTI.1524.ZS,BHS,"Bahamas, The",Latin America & Caribbean ,High income,Not classified
50,2015,43.85,SL.TLF.ACTI.1524.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
51,2016,44.86,SL.TLF.ACTI.1524.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
52,2017,44.89,SL.TLF.ACTI.1524.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
53,2018,43.59,SL.TLF.ACTI.1524.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
54,2019,41.17,SL.TLF.ACTI.1524.ZS,BHR,Bahrain,Middle East & North Africa,High income,Not classified
55,2015,40.11,SL.TLF.ACTI.1524.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
56,2016,39.51,SL.TLF.ACTI.1524.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
57,2017,41.95,SL.TLF.ACTI.1524.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
58,2018,42.0,SL.TLF.ACTI.1524.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
59,2019,41.97,SL.TLF.ACTI.1524.ZS,BGD,Bangladesh,South Asia,Lower middle income,IDA
60,2015,43.5,SL.TLF.ACTI.1524.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
61,2016,46.67,SL.TLF.ACTI.1524.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
62,2017,46.25,SL.TLF.ACTI.1524.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
63,2018,45.79,SL.TLF.ACTI.1524.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
64,2019,45.34,SL.TLF.ACTI.1524.ZS,BRB,Barbados,Latin America & Caribbean ,High income,Not classified
65,2015,48.18,SL.TLF.ACTI.1524.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
66,2016,48.09,SL.TLF.ACTI.1524.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
67,2017,48.0,SL.TLF.ACTI.1524.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
68,2018,46.59,SL.TLF.ACTI.1524.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
69,2019,44.62,SL.TLF.ACTI.1524.ZS,BLR,Belarus,Europe & Central Asia,Upper middle income,IBRD
70,2015,30.08,SL.TLF.ACTI.1524.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
71,2016,28.66,SL.TLF.ACTI.1524.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
72,2017,28.27,SL.TLF.ACTI.1524.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
73,2018,29.69,SL.TLF.ACTI.1524.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
74,2019,30.91,SL.TLF.ACTI.1524.ZS,BEL,Belgium,Europe & Central Asia,High income,Not classified
75,2015,47.63,SL.TLF.ACTI.1524.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
76,2016,48.73,SL.TLF.ACTI.1524.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
77,2017,49.74,SL.TLF.ACTI.1524.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
78,2018,49.73,SL.TLF.ACTI.1524.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
79,2019,49.79,SL.TLF.ACTI.1524.ZS,BLZ,Belize,Latin America & Caribbean ,Lower middle income,IBRD
80,2015,43.09,SL.TLF.ACTI.1524.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
81,2016,42.88,SL.TLF.ACTI.1524.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
82,2017,42.64,SL.TLF.ACTI.1524.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
83,2018,42.36,SL.TLF.ACTI.1524.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
84,2019,42.05,SL.TLF.ACTI.1524.ZS,BEN,Benin,Sub-Saharan Africa ,Lower middle income,IDA
85,2015,33.35,SL.TLF.ACTI.1524.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
86,2016,32.99,SL.TLF.ACTI.1524.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
87,2017,32.57,SL.TLF.ACTI.1524.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
88,2018,32.08,SL.TLF.ACTI.1524.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
89,2019,31.5,SL.TLF.ACTI.1524.ZS,BTN,Bhutan,South Asia,Lower middle income,IDA
90,2015,45.05,SL.TLF.ACTI.1524.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
91,2016,44.36,SL.TLF.ACTI.1524.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
92,2017,45.2,SL.TLF.ACTI.1524.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
93,2018,50.19,SL.TLF.ACTI.1524.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
94,2019,49.92,SL.TLF.ACTI.1524.ZS,BOL,Bolivia,Latin America & Caribbean ,Lower middle income,IBRD
95,2015,31.59,SL.TLF.ACTI.1524.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
96,2016,29.85,SL.TLF.ACTI.1524.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
97,2017,30.93,SL.TLF.ACTI.1524.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
98,2018,32.42,SL.TLF.ACTI.1524.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
99,2019,35.15,SL.TLF.ACTI.1524.ZS,BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,IBRD
100,2015,46.27,SL.TLF.ACTI.1524.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
101,2016,45.82,SL.TLF.ACTI.1524.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
102,2017,45.16,SL.TLF.ACTI.1524.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
103,2018,44.39,SL.TLF.ACTI.1524.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
104,2019,43.62,SL.TLF.ACTI.1524.ZS,BWA,Botswana,Sub-Saharan Africa ,Upper middle income,IBRD
105,2015,54.8,SL.TLF.ACTI.1524.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
106,2016,55.01,SL.TLF.ACTI.1524.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
107,2017,55.8,SL.TLF.ACTI.1524.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
108,2018,55.79,SL.TLF.ACTI.1524.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
109,2019,56.57,SL.TLF.ACTI.1524.ZS,BRA,Brazil,Latin America & Caribbean ,Upper middle income,IBRD
110,2015,40.22,SL.TLF.ACTI.1524.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
111,2016,39.62,SL.TLF.ACTI.1524.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
112,2017,39.16,SL.TLF.ACTI.1524.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
113,2018,40.39,SL.TLF.ACTI.1524.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
114,2019,38.24,SL.TLF.ACTI.1524.ZS,BRN,Brunei Darussalam,East Asia & Pacific,High income,Not classified
115,2015,26.27,SL.TLF.ACTI.1524.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
116,2016,24.43,SL.TLF.ACTI.1524.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
117,2017,26.9,SL.TLF.ACTI.1524.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
118,2018,24.39,SL.TLF.ACTI.1524.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
119,2019,24.33,SL.TLF.ACTI.1524.ZS,BGR,Bulgaria,Europe & Central Asia,Upper middle income,IBRD
120,2015,52.16,SL.TLF.ACTI.1524.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
121,2016,51.93,SL.TLF.ACTI.1524.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
122,2017,51.67,SL.TLF.ACTI.1524.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
123,2018,51.37,SL.TLF.ACTI.1524.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
124,2019,51.03,SL.TLF.ACTI.1524.ZS,BFA,Burkina Faso,Sub-Saharan Africa ,Low income,IDA
125,2015,54.34,SL.TLF.ACTI.1524.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
126,2016,54.3,SL.TLF.ACTI.1524.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
127,2017,54.12,SL.TLF.ACTI.1524.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
128,2018,53.82,SL.TLF.ACTI.1524.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
129,2019,53.45,SL.TLF.ACTI.1524.ZS,BDI,Burundi,Sub-Saharan Africa ,Low income,IDA
130,2015,38.04,SL.TLF.ACTI.1524.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
131,2016,37.2,SL.TLF.ACTI.1524.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
132,2017,36.18,SL.TLF.ACTI.1524.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
133,2018,35.35,SL.TLF.ACTI.1524.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
134,2019,34.5,SL.TLF.ACTI.1524.ZS,CPV,Cabo Verde,Sub-Saharan Africa ,Lower middle income,Blend
135,2015,71.9,SL.TLF.ACTI.1524.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
136,2016,73.18,SL.TLF.ACTI.1524.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
137,2017,71.99,SL.TLF.ACTI.1524.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
138,2018,71.24,SL.TLF.ACTI.1524.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
139,2019,70.43,SL.TLF.ACTI.1524.ZS,KHM,Cambodia,East Asia & Pacific,Lower middle income,IDA
140,2015,56.45,SL.TLF.ACTI.1524.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
141,2016,56.16,SL.TLF.ACTI.1524.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
142,2017,55.79,SL.TLF.ACTI.1524.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
143,2018,55.34,SL.TLF.ACTI.1524.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
144,2019,54.83,SL.TLF.ACTI.1524.ZS,CMR,Cameroon,Sub-Saharan Africa ,Lower middle income,Blend
145,2015,64.24,SL.TLF.ACTI.1524.ZS,CAN,Canada,North America,High income,Not classified
146,2016,63.76,SL.TLF.ACTI.1524.ZS,CAN,Canada,North America,High income,Not classified
147,2017,63.97,SL.TLF.ACTI.1524.ZS,CAN,Canada,North America,High income,Not classified
148,2018,63.39,SL.TLF.ACTI.1524.ZS,CAN,Canada,North America,High income,Not classified
149,2019,64.65,SL.TLF.ACTI.1524.ZS,CAN,Canada,North America,High income,Not classified
150,2015,57.1,SL.TLF.ACTI.1524.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
151,2016,56.63,SL.TLF.ACTI.1524.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
152,2017,56.07,SL.TLF.ACTI.1524.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
153,2018,55.44,SL.TLF.ACTI.1524.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
154,2019,54.77,SL.TLF.ACTI.1524.ZS,CAF,Central African Republic,Sub-Saharan Africa ,Low income,IDA
155,2015,56.51,SL.TLF.ACTI.1524.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
156,2016,56.14,SL.TLF.ACTI.1524.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
157,2017,55.69,SL.TLF.ACTI.1524.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
158,2018,55.16,SL.TLF.ACTI.1524.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
159,2019,54.58,SL.TLF.ACTI.1524.ZS,TCD,Chad,Sub-Saharan Africa ,Low income,IDA
160,2015,49.34,SL.TLF.ACTI.1524.ZS,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
161,2016,49.09,SL.TLF.ACTI.1524.ZS,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
162,2017,48.77,SL.TLF.ACTI.1524.ZS,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
163,2018,48.71,SL.TLF.ACTI.1524.ZS,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
164,2019,48.48,SL.TLF.ACTI.1524.ZS,CHI,Channel Islands,Europe & Central Asia,High income,Not classified
165,2015,36.52,SL.TLF.ACTI.1524.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
166,2016,35.38,SL.TLF.ACTI.1524.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
167,2017,34.83,SL.TLF.ACTI.1524.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
168,2018,34.02,SL.TLF.ACTI.1524.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
169,2019,32.39,SL.TLF.ACTI.1524.ZS,CHL,Chile,Latin America & Caribbean ,High income,IBRD
170,2015,49.06,SL.TLF.ACTI.1524.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
171,2016,47.9,SL.TLF.ACTI.1524.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
172,2017,46.98,SL.TLF.ACTI.1524.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
173,2018,46.23,SL.TLF.ACTI.1524.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
174,2019,45.55,SL.TLF.ACTI.1524.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
175,2015,55.22,SL.TLF.ACTI.1524.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
176,2016,54.06,SL.TLF.ACTI.1524.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
177,2017,53.18,SL.TLF.ACTI.1524.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
178,2018,52.68,SL.TLF.ACTI.1524.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
179,2019,50.91,SL.TLF.ACTI.1524.ZS,COL,Colombia,Latin America & Caribbean ,Upper middle income,IBRD
180,2015,15.91,SL.TLF.ACTI.1524.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
181,2016,15.76,SL.TLF.ACTI.1524.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
182,2017,15.57,SL.TLF.ACTI.1524.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
183,2018,15.36,SL.TLF.ACTI.1524.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
184,2019,15.14,SL.TLF.ACTI.1524.ZS,COM,Comoros,Sub-Saharan Africa ,Lower middle income,IDA
185,2015,35.96,SL.TLF.ACTI.1524.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
186,2016,35.94,SL.TLF.ACTI.1524.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
187,2017,35.81,SL.TLF.ACTI.1524.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
188,2018,35.59,SL.TLF.ACTI.1524.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
189,2019,35.32,SL.TLF.ACTI.1524.ZS,COD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Low income,IDA
190,2015,43.26,SL.TLF.ACTI.1524.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
191,2016,43.07,SL.TLF.ACTI.1524.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
192,2017,42.82,SL.TLF.ACTI.1524.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
193,2018,42.5,SL.TLF.ACTI.1524.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
194,2019,42.1,SL.TLF.ACTI.1524.ZS,COG,"Congo, Rep.",Sub-Saharan Africa ,Lower middle income,Blend
195,2015,45.8,SL.TLF.ACTI.1524.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
196,2016,42.26,SL.TLF.ACTI.1524.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
197,2017,43.5,SL.TLF.ACTI.1524.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
198,2018,45.53,SL.TLF.ACTI.1524.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
199,2019,46.36,SL.TLF.ACTI.1524.ZS,CRI,Costa Rica,Latin America & Caribbean ,Upper middle income,IBRD
200,2015,34.15,SL.TLF.ACTI.1524.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
201,2016,33.3,SL.TLF.ACTI.1524.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
202,2017,29.36,SL.TLF.ACTI.1524.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
203,2018,29.15,SL.TLF.ACTI.1524.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
204,2019,28.95,SL.TLF.ACTI.1524.ZS,CIV,Cote d'Ivoire,Sub-Saharan Africa ,Lower middle income,IDA
205,2015,33.01,SL.TLF.ACTI.1524.ZS,HRV,Croatia,Europe & Central Asia,High income,IBRD
206,2016,37.09,SL.TLF.ACTI.1524.ZS,HRV,Croatia,Europe & Central Asia,High income,IBRD
207,2017,35.89,SL.TLF.ACTI.1524.ZS,HRV,Croatia,Europe & Central Asia,High income,IBRD
208,2018,34.08,SL.TLF.ACTI.1524.ZS,HRV,Croatia,Europe & Central Asia,High income,IBRD
209,2019,34.07,SL.TLF.ACTI.1524.ZS,HRV,Croatia,Europe & Central Asia,High income,IBRD
210,2015,37.67,SL.TLF.ACTI.1524.ZS,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
211,2016,37.16,SL.TLF.ACTI.1524.ZS,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
212,2017,36.76,SL.TLF.ACTI.1524.ZS,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
213,2018,36.46,SL.TLF.ACTI.1524.ZS,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
214,2019,36.24,SL.TLF.ACTI.1524.ZS,CUB,Cuba,Latin America & Caribbean ,Upper middle income,Not classified
215,2015,40.38,SL.TLF.ACTI.1524.ZS,CYP,Cyprus,Europe & Central Asia,High income,Not classified
216,2016,38.57,SL.TLF.ACTI.1524.ZS,CYP,Cyprus,Europe & Central Asia,High income,Not classified
217,2017,37.32,SL.TLF.ACTI.1524.ZS,CYP,Cyprus,Europe & Central Asia,High income,Not classified
218,2018,39.88,SL.TLF.ACTI.1524.ZS,CYP,Cyprus,Europe & Central Asia,High income,Not classified
219,2019,39.61,SL.TLF.ACTI.1524.ZS,CYP,Cyprus,Europe & Central Asia,High income,Not classified
220,2015,32.73,SL.TLF.ACTI.1524.ZS,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
221,2016,32.56,SL.TLF.ACTI.1524.ZS,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
222,2017,32.26,SL.TLF.ACTI.1524.ZS,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
223,2018,30.76,SL.TLF.ACTI.1524.ZS,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
224,2019,29.71,SL.TLF.ACTI.1524.ZS,CZE,Czech Republic,Europe & Central Asia,High income,Not classified
225,2015,58.36,SL.TLF.ACTI.1524.ZS,DNK,Denmark,Europe & Central Asia,High income,Not classified
226,2016,59.45,SL.TLF.ACTI.1524.ZS,DNK,Denmark,Europe & Central Asia,High income,Not classified
227,2017,60.24,SL.TLF.ACTI.1524.ZS,DNK,Denmark,Europe & Central Asia,High income,Not classified
228,2018,59.92,SL.TLF.ACTI.1524.ZS,DNK,Denmark,Europe & Central Asia,High income,Not classified
229,2019,61.0,SL.TLF.ACTI.1524.ZS,DNK,Denmark,Europe & Central Asia,High income,Not classified
230,2015,41.06,SL.TLF.ACTI.1524.ZS,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
231,2016,40.73,SL.TLF.ACTI.1524.ZS,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
232,2017,40.25,SL.TLF.ACTI.1524.ZS,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
233,2018,39.74,SL.TLF.ACTI.1524.ZS,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
234,2019,39.31,SL.TLF.ACTI.1524.ZS,DJI,Djibouti,Middle East & North Africa,Lower middle income,IDA
235,2015,44.89,SL.TLF.ACTI.1524.ZS,DOM,Dominican Republic,Latin America & Caribbean ,Upper middle income,IBRD
